State,Andhra Pradesh ,Arunachal Pradesh,Assam,Bihar,Chhattisgarh,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu & Kashmir,Jharkhand,Karnataka,Kerala,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal,Delhi,Puducherry
1991-92,1306,156,615,1066,0,135,1670,453,1358,764,0,1294,789,1217,2003,156,124,93,159,1005,816,1729,73,920,0,129,2847,0,867,0,0
1992-93,1793,163,685,1174,0,119,1776,577,301,539,0,1508,707,1505,2467,426,133,116,330,866,785,1350,70,1206,0,107,3445,0,983,0,0
1993-94,2523,176,719,1115,0,128,1474,708,339,825,0,1881,845,1360,2874,200,199,103,252,973,1177,1529,74,1304,0,142,2995,0,1067,292,0
1994-95,2945,252,727,823,0,124,1954,639,394,1015,0,1595,892,1506,5214,167,130,129,184,947,1463,1675,75,1797,0,175,5666,0,1652,976,0
1995-96,3687,296,815,961,0,158,2045,770,446,1057,0,1925,1096,1451,4208,192,198,150,195,865,1369,2576,111,1621,0,203,3231,0,1883,1074,0
1996-97,1872,288,695,1153,0,157,2317,1064,486,1123,0,1779,1154,1631,4159,306,168,189,231,1193,622,2539,122,2337,0,272,3809,0,2670,1484,0
1997-98,3201,307,984,1259,0,148,2732,1188,754,1414,0,1710,1577,2498,4779,335,166,208,226,1318,1636,3699,136,2383,0,290,4431,0,2235,1889,0
1998-99,5014,257,788,1549,0,170,3566,1562,833,940,0,2440,1383,1751,4654,327,192,202,441,1823,2578,2739,126,2182,0,355,5388,0,2910,2103,0
1999-00,4729,277,1240,3420,0,178,3948,1407,892,1053,0,2587,1334,1822,8705,423,268,266,315,1661,1784,2827,110,1899,0,312,5868,0,3179,2389,0
2000-01,5049,298,1214,2601,305,253,5134,1978,939,1144,0,2979,1271,1938,4807,250,344,266,415,2219,2398,2459,184,2685,0,401,5649,197,4637,3666,0
2001-02,6348,351,1704,2309,710,252,2933,2072,1093,1927,1935,3332,1470,2591,4198,779,238,205,568,2187,2982,3046,245,3261,0,653,6324,465,4684,3587,0
2002-03,8316,332,1824,3727,1292,401,5481,1240,1475,2325,2072,5260,2211,4429,6743,742,384,274,411,3252,2511,4526,249,4469,0,576,9148,1173,4555,5615,0
2003-04,10290,800,2146,4501,2351,653,11032,5005,2508,2221,2436,7982,4273,5158,18354,857,456,538,571,4704,4633,7021,296,8494,0,702,19220,1845,12664,6633,0
